id,begin_idx,end_idx,notes
sub1_2v2_d_n_5,23,386,
sub1_2v2_e_n_1,21,553,
sub1_2v2_e_n_2,33,190,
sub1_2v2_e_n_3,32,582,tilted and wobbled
sub1_2v2_e_n_4,32,981,
sub1_2v2_e_n_5,30,700,
sub1_2v2_f_n_1,30,150,
sub1_2v2_f_n_2,34,347,
sub1_2v2_f_n_3,15,340,
sub1_2v2_f_n_4,19,385,
sub1_2v2_f_n_5,38,270,
sub1_2v2_g_n_1,20,142,wobbled
sub1_2v2_g_n_2,30,213,
sub1_2v2_g_n_3,30,195,
sub1_2v2_g_n_4,42,168,tilt & wobble
sub1_2v2_g_n_5,19,180,
sub1_2v2_h_n_1,25,107,
sub1_2v2_h_n_2,34,123,
sub1_2v2_h_n_3,43,189,
sub1_2v2_h_n_4,27,181,wobble
sub1_2v2_h_n_5,24,131,tilt & wobble
sub1_2v2_n_cw_1,,,
sub1_2v2_n_cw_2,,,
sub1_2v2_n_cw_3,,,
sub1_2v2_n_cw_4,,,
sub1_2v2_n_cw_5,,,
sub1_2v2_n_ccw_1,,,
sub1_2v2_n_ccw_2,,,
sub1_2v2_n_ccw_3,,,
sub1_2v2_n_ccw_4,,,
sub1_2v2_n_ccw_5,,,
sub1_3v3_a_n_1,58,167,
sub1_3v3_a_n_2,33,147,
sub1_3v3_a_n_3,31,160,
sub1_3v3_a_n_4,35,159,
sub1_3v3_a_n_5,40,123,
sub1_3v3_b_n_1,25,158,
sub1_3v3_b_n_2,34,174,
sub1_3v3_b_n_3,25,147,
sub1_3v3_b_n_4,37,168,wobble
sub1_3v3_b_n_5,32,115,
sub1_3v3_c_n_1,64,265,
sub1_3v3_c_n_2,40,190,
sub1_3v3_c_n_3,29,171,
sub1_3v3_c_n_4,28,139,
sub1_3v3_c_n_5,27,168,
sub1_3v3_d_n_1,164,269,"also ""old"" test file"
sub1_3v3_d_n_2,75,177,"wobble, also ""old"" test file"
sub1_3v3_d_n_3,48,124,"also ""old"" test file"
sub1_3v3_d_n_4,46,178,"also ""old"" test file"
sub1_3v3_d_n_5,31,102,"wobble, also ""old"" test file"
sub1_3v3_e_n_1,21,458,
sub1_3v3_e_n_2,22,155,tilt & wobble
sub1_3v3_e_n_3,37,202,wobble
sub1_3v3_e_n_4,32,160,tilt
