id,begin_idx,end_idx,notes
sub2_barrett_c_n_2,31,79,wobble
sub2_barrett_c_n_3,23,99,wobble
sub2_barrett_c_n_4,26,77,wobble
sub2_barrett_c_n_5,32,86,wobble
sub2_barrett_d_n_1,38,137,wobble
sub2_barrett_d_n_2,29,121,wobble
sub2_barrett_d_n_3,29,119,
sub2_barrett_d_n_4,20,95,wobble
sub2_barrett_d_n_5,27,101,wobble
sub2_barrett_e_n_1,34,181,slight wobble
sub2_barrett_e_n_2,32,172,wobble
sub2_barrett_e_n_3,25,100,wobble
sub2_barrett_e_n_4,31,94,wobble
sub2_barrett_e_n_5,34,299,wobble
sub2_barrett_f_n_1,29,82,wobble
sub2_barrett_f_n_2,26,103,wobble
sub2_barrett_f_n_3,20,180,wobble
sub2_barrett_f_n_4,24,122,slight wobble
sub2_barrett_f_n_5,26,138,
sub2_barrett_g_n_1,49,142,
sub2_barrett_g_n_2,59,134,slight wobble
sub2_barrett_g_n_3,20,83,wobble
sub2_barrett_g_n_4,35,147,wobble
sub2_barrett_g_n_5,28,104,wobble
sub2_barrett_h_n_1,33,124,wobble
sub2_barrett_h_n_2,26,106,
sub2_barrett_h_n_3,41,110,wobble
sub2_barrett_h_n_4,26,143,wobble
sub2_barrett_h_n_5,24,84,wobble
sub2_barrett_n_cw_1,,,
sub2_barrett_n_cw_2,,,
sub2_barrett_n_cw_3,,,
sub2_barrett_n_cw_4,,,
sub2_barrett_n_cw_5,,,
sub2_barrett_n_ccw_1,,,
sub2_barrett_n_ccw_2,,,
sub2_barrett_n_ccw_3,,,
sub2_barrett_n_ccw_4,,,
sub2_barrett_n_ccw_5,,,
sub2_modelvf_a_n_1,45,514,slight wobble
sub2_modelvf_a_n_2,122,747,slight wobble
sub2_modelvf_a_n_3,25,267,fingers not removed from object
sub2_modelvf_a_n_4,21,280,fingers not removed from object
sub2_modelvf_a_n_5,19,235,fingers not removed from object
sub2_modelvf_b_n_1,15,200,wobble
sub2_modelvf_b_n_2,28,520,fingers not removed from object
sub2_modelvf_b_n_3,37,340,fingers not removed from object
sub2_modelvf_b_n_4,13,115,fingers not removed from object
sub2_modelvf_b_n_5,24,265,fingers not removed from object
sub2_modelvf_c_n_1,33,203,fingers not removed from object
sub2_modelvf_c_n_2,34,134,fingers not removed from object
sub2_modelvf_c_n_3,8,145,fingers not removed from object
sub2_modelvf_c_n_4,40,162,wobble
sub2_modelvf_c_n_5,27,136,fingers not removed from object
sub2_modelvf_d_n_1,34,123,slight wobble
sub2_modelvf_d_n_2,30,105,fingers not removed from object
sub2_modelvf_d_n_3,19,190,fingers not removed from object
sub2_modelvf_d_n_4,29,160,fingers not removed from object
sub2_modelvf_d_n_5,19,85,fingers not removed from object
sub2_modelvf_e_n_1,54,281,wobble
sub2_modelvf_e_n_2,16,272,wobble
sub2_modelvf_e_n_3,23,115,fingers not removed from object
sub2_modelvf_e_n_4,29,260,fingers not removed from object
sub2_modelvf_e_n_5,23,133,fingers not removed from object
sub2_modelvf_f_n_1,40,144,fingers not removed from object
sub2_modelvf_f_n_2,39,150,fingers not removed from object
sub2_modelvf_f_n_3,17,120,fingers not removed from object
sub2_modelvf_f_n_4,22,135,fingers not removed from object
sub2_modelvf_f_n_5,17,120,fingers not removed from object
sub2_modelvf_g_n_1,25,134,wobble
sub2_modelvf_g_n_2,30,230,fingers not removed from object
sub2_modelvf_g_n_3,12,189,fingers not removed from object
sub2_modelvf_g_n_4,28,160,fingers not removed from object
sub2_modelvf_g_n_5,17,108,fingers not removed from object
sub2_modelvf_h_n_1,35,505,fingers not removed from object
sub2_modelvf_h_n_2,24,330,fingers not removed from object
sub2_modelvf_h_n_3,73,170,fingers not removed from object
sub2_modelvf_h_n_4,40,210,fingers not removed from object
sub2_modelvf_h_n_5,29,137,fingers not removed from object
sub3_basic_a_n_1,,,
sub3_basic_a_n_2,,,
sub3_basic_a_n_3,,,
sub3_basic_a_n_4,,,
sub3_basic_a_n_5,,,
sub3_basic_b_n_1,,,
sub3_basic_b_n_2,,,
sub3_basic_b_n_3,,,
sub3_basic_b_n_4,,,
sub3_basic_b_n_5,,,
sub3_basic_c_n_1,,,
sub3_basic_c_n_2,,,
sub3_basic_c_n_3,,,
sub3_basic_c_n_4,,,
sub3_basic_c_n_5,,,
sub3_basic_d_n_1,,,
sub3_basic_d_n_2,,,
sub3_basic_d_n_3,,,
sub3_basic_d_n_4,,,
sub3_basic_d_n_5,,,
sub3_basic_e_n_1,,,
sub3_basic_e_n_2,,,
sub3_basic_e_n_3,,,
sub3_basic_e_n_4,,,
sub3_basic_e_n_5,,,
sub3_basic_f_n_1,,,
sub3_basic_f_n_2,,,
sub3_basic_f_n_3,,,
sub3_basic_f_n_4,,,
sub3_basic_f_n_5,,,
sub3_basic_g_n_1,,,
sub3_basic_g_n_2,,,
sub3_basic_g_n_3,,,
sub3_basic_g_n_4,,,
sub3_basic_g_n_5,,,
sub3_basic_h_n_1,,,
sub3_basic_h_n_2,,,
sub3_basic_h_n_3,,,
sub3_basic_h_n_4,,,
sub3_basic_h_n_5,,,
sub3_m2stiff_a_n_1,,,
sub3_m2stiff_a_n_2,,,
sub3_m2stiff_a_n_3,,,
sub3_m2stiff_a_n_4,,,
sub3_m2stiff_a_n_5,,,
sub3_m2stiff_b_n_1,,,
sub3_m2stiff_b_n_2,,,
sub3_m2stiff_b_n_3,,,
sub3_m2stiff_b_n_4,,,
sub3_m2stiff_b_n_5,,,
sub3_m2stiff_c_n_1,,,
sub3_m2stiff_c_n_2,,,
sub3_m2stiff_c_n_3,,,
sub3_m2stiff_c_n_4,,,
sub3_m2stiff_c_n_5,,,
sub3_m2stiff_d_n_1,,,
sub3_m2stiff_d_n_2,,,
sub3_m2stiff_d_n_3,,,
sub3_m2stiff_d_n_4,,,
sub3_m2stiff_d_n_5,,,
sub3_m2stiff_e_n_1,,,
sub3_m2stiff_e_n_2,,,
sub3_m2stiff_e_n_3,,,
sub3_m2stiff_e_n_4,,,
sub3_m2stiff_e_n_5,,,
sub3_m2stiff_f_n_1,,,
sub3_m2stiff_f_n_2,,,
sub3_m2stiff_f_n_3,,,
sub3_m2stiff_f_n_4,,,
sub3_m2stiff_f_n_5,,,
sub3_m2stiff_g_n_1,,,
sub3_m2stiff_g_n_2,,,
sub3_m2stiff_g_n_3,,,
sub3_m2stiff_g_n_4,,,
sub3_m2stiff_g_n_5,,,
sub3_m2stiff_h_n_1,,,
sub3_m2stiff_h_n_2,,,
sub3_m2stiff_h_n_3,,,
sub3_m2stiff_h_n_4,,,
sub3_m2stiff_h_n_5,,,
sub3_m2active_a_n_1,,,
sub3_m2active_a_n_2,,,
sub3_m2active_a_n_3,,,
sub3_m2active_a_n_4,,,
sub3_m2active_a_n_5,,,
sub3_m2active_b_n_1,,,
sub3_m2active_b_n_2,,,
sub3_m2active_b_n_3,,,
sub3_m2active_b_n_4,,,
sub3_m2active_b_n_5,,,
sub3_m2active_c_n_1,,,
sub3_m2active_c_n_2,,,
sub3_m2active_c_n_3,,,
sub3_m2active_c_n_4,,,
sub3_m2active_c_n_5,,,
sub3_m2active_d_n_1,,,
sub3_m2active_d_n_2,,,
sub3_m2active_d_n_3,,,
sub3_m2active_d_n_4,,,
sub3_m2active_d_n_5,,,
sub3_m2active_e_n_1,,,
sub3_m2active_e_n_2,,,
sub3_m2active_e_n_3,,,
sub3_m2active_e_n_4,,,
sub3_m2active_e_n_5,,,
sub3_m2active_f_n_1,,,
sub3_m2active_f_n_2,,,
sub3_m2active_f_n_3,,,
sub3_m2active_f_n_4,,,
sub3_m2active_f_n_5,,,
sub3_m2active_g_n_1,,,
sub3_m2active_g_n_2,,,
sub3_m2active_g_n_3,,,
sub3_m2active_g_n_4,,,
sub3_m2active_g_n_5,,,
sub3_m2active_h_n_1,,,
sub3_m2active_h_n_2,,,
sub3_m2active_h_n_3,,,
sub3_m2active_h_n_4,,,
sub3_m2active_h_n_5,,,
sub3_m2active_n_cw_1,,,
sub3_m2active_n_cw_2,,,
sub3_m2active_n_cw_3,,,
sub3_m2active_n_cw_4,,,
sub3_m2active_n_cw_5,,,
sub3_m2active_n_ccw_1,,,
sub3_m2active_n_ccw_2,,,
sub3_m2active_n_ccw_3,,,
sub3_m2active_n_ccw_4,,,
sub3_m2active_n_ccw_5,,,
sub3_2v2_a_n_1,,,
sub3_2v2_a_n_2,,,
sub3_2v2_a_n_3,,,
sub3_2v2_a_n_4,,,
sub3_2v2_a_n_5,,,
sub3_2v2_b_n_1,,,
sub3_2v2_b_n_2,,,
sub3_2v2_b_n_3,,,
sub3_2v2_b_n_4,,,
sub3_2v2_b_n_5,,,
sub3_2v2_c_n_1,,,
sub3_2v2_c_n_2,,,
sub3_2v2_c_n_3,,,
sub3_2v2_c_n_4,,,
sub3_2v2_c_n_5,,,
sub3_2v2_d_n_1,,,
sub3_2v2_d_n_2,,,
sub3_2v2_d_n_3,,,
sub3_2v2_d_n_4,,,
sub3_2v2_d_n_5,,,
sub3_2v2_e_n_1,,,
sub3_2v2_e_n_2,,,
sub3_2v2_e_n_3,,,
sub3_2v2_e_n_4,,,
sub3_2v2_e_n_5,,,
sub3_2v2_f_n_1,,,
sub3_2v2_f_n_2,,,
sub3_2v2_f_n_3,,,
sub3_2v2_f_n_4,,,
sub3_2v2_f_n_5,,,
sub3_2v2_g_n_1,,,
sub3_2v2_g_n_2,,,
sub3_2v2_g_n_3,,,
sub3_2v2_g_n_4,,,
sub3_2v2_g_n_5,,,
sub3_2v2_h_n_1,,,
sub3_2v2_h_n_2,,,
sub3_2v2_h_n_3,,,
sub3_2v2_h_n_4,,,
sub3_2v2_h_n_5,,,
sub3_2v2_n_cw_1,,,
sub3_2v2_n_cw_2,,,
sub3_2v2_n_cw_3,,,
sub3_2v2_n_cw_4,,,
sub3_2v2_n_cw_5,,,
sub3_2v2_n_ccw_1,,,
sub3_2v2_n_ccw_2,,,
sub3_2v2_n_ccw_3,,,
sub3_2v2_n_ccw_4,,,
sub3_2v2_n_ccw_5,,,
sub3_3v3_a_n_1,,,
sub3_3v3_a_n_2,,,
sub3_3v3_a_n_3,,,
sub3_3v3_a_n_4,,,
sub3_3v3_a_n_5,,,
sub3_3v3_b_n_1,,,
sub3_3v3_b_n_2,,,
sub3_3v3_b_n_3,,,
sub3_3v3_b_n_4,,,
sub3_3v3_b_n_5,,,
sub3_3v3_c_n_1,,,
sub3_3v3_c_n_2,,,
sub3_3v3_c_n_3,,,
sub3_3v3_c_n_4,,,
sub3_3v3_c_n_5,,,
sub3_3v3_d_n_1,,,
sub3_3v3_d_n_2,,,
sub3_3v3_d_n_3,,,
sub3_3v3_d_n_4,,,
sub3_3v3_d_n_5,,,
sub3_3v3_e_n_1,,,
sub3_3v3_e_n_2,,,
sub3_3v3_e_n_3,,,
sub3_3v3_e_n_4,,,
sub3_3v3_e_n_5,,,
sub3_3v3_f_n_1,,,
sub3_3v3_f_n_2,,,
sub3_3v3_f_n_3,,,
sub3_3v3_f_n_4,,,
sub3_3v3_f_n_5,,,
sub3_3v3_g_n_1,,,
sub3_3v3_g_n_2,,,
sub3_3v3_g_n_3,,,
sub3_3v3_g_n_4,,,
sub3_3v3_g_n_5,,,
sub3_3v3_h_n_1,,,
sub3_3v3_h_n_2,,,
sub3_3v3_h_n_3,,,
sub3_3v3_h_n_4,,,
sub3_3v3_h_n_5,,,
sub3_3v3_n_cw_1,,,
sub3_3v3_n_cw_2,,,
sub3_3v3_n_cw_3,,,
sub3_3v3_n_cw_4,,,
sub3_3v3_n_cw_5,,,
sub3_3v3_n_ccw_1,,,
sub3_3v3_n_ccw_2,,,
sub3_3v3_n_ccw_3,,,
sub3_3v3_n_ccw_4,,,
sub3_3v3_n_ccw_5,,,
sub3_2v3_a_n_1,,,
sub3_2v3_a_n_2,,,
sub3_2v3_a_n_3,,,
sub3_2v3_a_n_4,,,
sub3_2v3_a_n_5,,,
sub3_2v3_b_n_1,,,
sub3_2v3_b_n_2,,,
sub3_2v3_b_n_3,,,
sub3_2v3_b_n_4,,,
sub3_2v3_b_n_5,,,
sub3_2v3_c_n_1,,,
sub3_2v3_c_n_2,,,
sub3_2v3_c_n_3,,,
sub3_2v3_c_n_4,,,
sub3_2v3_c_n_5,,,
sub3_2v3_d_n_1,,,
sub3_2v3_d_n_2,,,
sub3_2v3_d_n_3,,,
sub3_2v3_d_n_4,,,
sub3_2v3_d_n_5,,,
sub3_2v3_e_n_1,,,
sub3_2v3_e_n_2,,,
sub3_2v3_e_n_3,,,
sub3_2v3_e_n_4,,,
sub3_2v3_e_n_5,,,
sub3_2v3_f_n_1,,,
sub3_2v3_f_n_2,,,
sub3_2v3_f_n_3,,,
sub3_2v3_f_n_4,,,
sub3_2v3_f_n_5,,,
sub3_2v3_g_n_1,,,
sub3_2v3_g_n_2,,,
sub3_2v3_g_n_3,,,
sub3_2v3_g_n_4,,,
sub3_2v3_g_n_5,,,
sub3_2v3_h_n_1,,,
sub3_2v3_h_n_2,,,
sub3_2v3_h_n_3,,,
sub3_2v3_h_n_4,,,
sub3_2v3_h_n_5,,,
sub3_2v3_n_cw_1,,,
sub3_2v3_n_cw_2,,,
sub3_2v3_n_cw_3,,,
sub3_2v3_n_cw_4,,,
sub3_2v3_n_cw_5,,,
sub3_2v3_n_ccw_1,,,
sub3_2v3_n_ccw_2,,,
sub3_2v3_n_ccw_3,,,
sub3_2v3_n_ccw_4,,,
sub3_2v3_n_ccw_5,,,
sub3_barrett_a_n_1,,,
sub3_barrett_a_n_2,,,
sub3_barrett_a_n_3,,,
sub3_barrett_a_n_4,,,
sub3_barrett_a_n_5,,,
sub3_barrett_b_n_1,,,
sub3_barrett_b_n_2,,,
sub3_barrett_b_n_3,,,
sub3_barrett_b_n_4,,,
sub3_barrett_b_n_5,,,
sub3_barrett_c_n_1,,,
sub3_barrett_c_n_2,,,
sub3_barrett_c_n_3,,,
sub3_barrett_c_n_4,,,
sub3_barrett_c_n_5,,,
sub3_barrett_d_n_1,,,
sub3_barrett_d_n_2,,,
sub3_barrett_d_n_3,,,
sub3_barrett_d_n_4,,,
sub3_barrett_d_n_5,,,
sub3_barrett_e_n_1,,,
sub3_barrett_e_n_2,,,
sub3_barrett_e_n_3,,,
sub3_barrett_e_n_4,,,
sub3_barrett_e_n_5,,,
sub3_barrett_f_n_1,,,
sub3_barrett_f_n_2,,,
sub3_barrett_f_n_3,,,
sub3_barrett_f_n_4,,,
sub3_barrett_f_n_5,,,
sub3_barrett_g_n_1,,,
sub3_barrett_g_n_2,,,
sub3_barrett_g_n_3,,,
sub3_barrett_g_n_4,,,
sub3_barrett_g_n_5,,,
sub3_barrett_h_n_1,,,
sub3_barrett_h_n_2,,,
sub3_barrett_h_n_3,,,
sub3_barrett_h_n_4,,,
sub3_barrett_h_n_5,,,
sub3_barrett_n_cw_1,,,
sub3_barrett_n_cw_2,,,
sub3_barrett_n_cw_3,,,
sub3_barrett_n_cw_4,,,
sub3_barrett_n_cw_5,,,
sub3_barrett_n_ccw_1,,,
sub3_barrett_n_ccw_2,,,
sub3_barrett_n_ccw_3,,,
sub3_barrett_n_ccw_4,,,
sub3_barrett_n_ccw_5,,,
sub3_modelvf_a_n_1,,,
sub3_modelvf_a_n_2,,,
sub3_modelvf_a_n_3,,,
sub3_modelvf_a_n_4,,,
sub3_modelvf_a_n_5,,,
sub3_modelvf_b_n_1,,,
sub3_modelvf_b_n_2,,,
sub3_modelvf_b_n_3,,,
sub3_modelvf_b_n_4,,,
sub3_modelvf_b_n_5,,,
sub3_modelvf_c_n_1,,,
sub3_modelvf_c_n_2,,,
sub3_modelvf_c_n_3,,,
sub3_modelvf_c_n_4,,,
sub3_modelvf_c_n_5,,,
sub3_modelvf_d_n_1,,,
sub3_modelvf_d_n_2,,,
sub3_modelvf_d_n_3,,,
sub3_modelvf_d_n_4,,,
sub3_modelvf_d_n_5,,,
sub3_modelvf_e_n_1,,,
sub3_modelvf_e_n_2,,,
sub3_modelvf_e_n_3,,,
sub3_modelvf_e_n_4,,,
sub3_modelvf_e_n_5,,,
sub3_modelvf_f_n_1,,,
sub3_modelvf_f_n_2,,,
sub3_modelvf_f_n_3,,,
sub3_modelvf_f_n_4,,,
sub3_modelvf_f_n_5,,,
sub3_modelvf_g_n_1,,,
sub3_modelvf_g_n_2,,,
sub3_modelvf_g_n_3,,,
sub3_modelvf_g_n_4,,,
sub3_modelvf_g_n_5,,,
sub3_modelvf_h_n_1,,,
sub3_modelvf_h_n_2,,,
sub3_modelvf_h_n_3,,,
sub3_modelvf_h_n_4,,,
sub3_modelvf_h_n_5,,,
